Ripper Arm Roll [deg],Ripper Arm Pitch [deg],Ripper Arm Yaw [deg],Ripper Roll [deg],Ripper Pitch [deg],Ripper Yaw [deg],ESP32 Roll [deg],ESP32 Pitch [deg],ESP32 Yaw [deg],Time [H:M:S:MS]
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:12:425.515
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:12:531.984
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:12:618.822
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:12:749.261
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:12:815.697
4.37,46.81,0,-7.25,106.69,0,2.87,-1.81,0,05:20:12:929.143
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:13:11.156
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:13:132.89
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:13:219.066
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:13:327.724
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:13:419.797
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:13:545.872
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:13:629.474
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:13:717.611
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:13:839.688
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:13:931.878
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:14:44.486
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:14:113.48
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:14:242.535
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:14:311.183
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:14:427.478
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:14:514.795
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:14:646.781
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:14:720.455
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:14:832.243
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:14:915.244
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:15:16.256
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:15:164.459
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:15:210.333
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:15:334.723
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:15:485.295
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:15:562.246
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:15:665.142
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:15:761.586
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:15:878.249
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:15:960.703
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:16:63.466
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:16:160.016
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:16:290.288
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:16:418.152
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:16:516.426
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:16:618.916
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:16:714.939
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:16:822.822
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:16:919.886
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:17:12.227
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:17:139.08
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:17:238.133
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:17:360.69
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:17:467.265
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:17:568.64
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:17:677.133
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:17:761.947
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:17:864.156
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:17:975.668
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:18:60.692
4.37,46.81,0,-7.25,106.69,0,2.94,-1.81,0,05:20:18:170.872
